Date de modification de la donnée;IDENT PARKING;Nom du parking;Propriétaire;Titulaire du contrat;Exploitant;Type de gestion;Secteur;INSEE Commune;Commune;IDENT EQUIPEMENT PUBLIC;Année de mise en service;Type de construction;Nombre de niveaux;Places Hors gabarit < 3.5T;Places Hors gabarit > 3.5T;Nombre de places utilisées en fourrière;Potentiel global : Parking + Parc Relais + Fourrière;Total de places en Parking ou Parc Relais;Dont max de places utilisées en parc-relais;Dont places PMR;Dont places VL électrique;Dont places Autopartage ou Autocool ou Citiz;Dont Covoiturage;Et dont places pour station de lavage;Places 2 roues à moteur;Dont 2 roues à moteur électrique;Total places vélo;Dont Places vélo électrique
2024-04-17;CUBPK74;LAHARPE - Metpark;BORDEAUX_METROPOLE;METPARK;METPARK;REGIE_AUTONOME;PERIPHERIE;33069;LE BOUSCAT;069J0080;2016;SURFACE;1;0;0;0;83;83;0;0;0;0;0;0;0;0;0;0
2024-04-24;CUBPK09;AEROPORT P0 CONFORT - Indigo park;AEROPORT_DE_BORDEAUX;INDIGO_PARK;INDIGO_PARK;CONCESSION_DE_SERVICE;PERIPHERIE;33281;MERIGNAC;281J0570;2016;SURFACE;1;0;0;0;341;341;0;3;22;0;0;0;0;0;0;0
2024-04-16;CUBPK73;NICOLAS BEAUJON - Metpark;BORDEAUX_METROPOLE;METPARK;METPARK;REGIE_AUTONOME;PERIPHERIE;33063;BORDEAUX;063J1098;2016;SILO;3;0;0;0;92;92;0;2;2;0;0;0;0;0;18;0
2023-06-29;CUBPK60;PARC-RELAIS GARE DE BEGLES - TBM Keolis;BORDEAUX_METROPOLE;TBM;KEOLIS;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;PERIPHERIE;33039;BEGLES;039J0140;2015;SURFACE;1;0;0;0;193;193;193;4;0;0;5;0;0;0;30;7
2023-11-21;CUBPK57;PARC-RELAIS LE HAILLAN ROSTAND - TBM Keolis;BORDEAUX_METROPOLE;TBM;KEOLIS;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;PERIPHERIE;33200;LE HAILLAN;200J0046;2015;SURFACE;1;0;0;0;204;204;204;5;0;0;5;0;5;0;0;0
2023-11-21;CUBPK58;PARC-RELAIS LES PINS - TBM Keolis;BORDEAUX_METROPOLE;TBM;KEOLIS;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;PERIPHERIE;33281;MERIGNAC;281J2514;2015;SURFACE;1;0;0;0;220;220;220;5;0;0;5;0;10;0;40;7
2024-04-17;CUBPK75;RUE DE BEGLES - Metpark;BORDEAUX_METROPOLE;METPARK;METPARK;REGIE_AUTONOME;CENTRE;33063;BORDEAUX;063J2558;2014;ENTERRE;1;0;0;0;63;63;0;3;0;0;0;0;0;0;0;0
2023-06-29;CUBPK49;PARC-RELAIS LA GARDETTE NORD- TBM Keolis;BORDEAUX_METROPOLE;TBM;KEOLIS;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;PERIPHERIE;33032;BASSENS;032J0003;2008;SURFACE;1;0;0;0;242;242;242;5;0;0;5;0;0;0;30;7
2023-11-21;CUBPK41;PARC-RELAIS ARLAC - TBM Kelolis;BORDEAUX_METROPOLE;TBM;KEOLIS;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;PERIPHERIE;33281;MERIGNAC;281J0573;2008;SILO;5;0;0;0;397;397;397;9;6;0;10;0;32;0;30;6
2024-04-23;CUBPK10;AEROPORT P1 PROXI - Indigo park;AEROPORT_DE_BORDEAUX;INDIGO_PARK;INDIGO_PARK;CONCESSION_DE_SERVICE;PERIPHERIE;33281;MERIGNAC;281J2519;2008;SURFACE;1;0;0;0;375;375;0;0;0;0;0;0;0;0;0;0
