Geo Point;Geo Shape;gid;geom_err;typologie;cdate;mdate;nom_commune;code_commune
44.8449543241522, -0.6844371124033723;"{""coordinates"": [[[-0.6844097, 44.8449568], [-0.6844577, 44.8449681], [-0.6844647, 44.8449521], [-0.6844167, 44.8449404], [-0.6844097, 44.8449568]]], ""type"": ""Polygon""}";769638;;VT;2023-02-20T10:24:50+01:00;2023-02-20T10:25:45+01:00;Mérignac;33281
44.8222167345342, -0.6649167866481517;"{""coordinates"": [[[-0.6648994, 44.8221969], [-0.6648848, 44.8222117], [-0.6649321, 44.8222364], [-0.6649496, 44.8222216], [-0.6648994, 44.8221969]]], ""type"": ""Polygon""}";769787;;VT;2023-02-20T10:51:53+01:00;2023-02-20T10:53:00+01:00;Mérignac;33281
44.885712812800904, -0.6745984521567209;"{""coordinates"": [[[-0.6745791, 44.8857123], [-0.6746072, 44.885726], [-0.6746174, 44.8857132], [-0.6745904, 44.8856997], [-0.6745791, 44.8857123]]], ""type"": ""Polygon""}";770653;;VT;2023-02-20T13:47:12+01:00;2023-02-20T13:47:34+01:00;Le Haillan;33200
44.9010518477324, -0.6695044122989571;"{""coordinates"": [[[-0.669516, 44.9010711], [-0.6695145, 44.9010322], [-0.6694938, 44.9010321], [-0.6694933, 44.9010708], [-0.669516, 44.9010711]]], ""type"": ""Polygon""}";770671;;VT;2023-02-20T13:49:50+01:00;2023-02-20T13:50:13+01:00;Le Taillan-Médoc;33519
44.85685241784097, -0.5614350262880754;"{""coordinates"": [[[-0.56141, 44.8568731], [-0.5614721, 44.8568449], [-0.5614605, 44.8568318], [-0.5613981, 44.8568596], [-0.56141, 44.8568731]]], ""type"": ""Polygon""}";734340;;VT;2022-10-20T09:51:48+02:00;2022-10-20T09:52:11+02:00;Bordeaux;33063
44.8955384046115, -0.5621551326118838;"{""coordinates"": [[[-0.5619011, 44.895536], [-0.561906, 44.8955708], [-0.5624115, 44.8955401], [-0.5624076, 44.8955064], [-0.5619011, 44.895536]]], ""type"": ""Polygon""}";832940;;VT;2023-04-27T07:44:01+02:00;2023-04-28T12:47:09+02:00;Bordeaux;33063
44.89417654524773, -0.5006343145626343;"{""coordinates"": [[[-0.5006058, 44.8941898], [-0.5006305, 44.8941999], [-0.5006625, 44.8941634], [-0.5006388, 44.8941529], [-0.5006058, 44.8941898]]], ""type"": ""Polygon""}";845603;;VT;2023-05-22T11:33:55+02:00;2023-05-22T11:34:52+02:00;Carbon-Blanc;33096
44.84392538029819, -0.5764325467518632;"{""coordinates"": [[[-0.5764266, 44.8439134], [-0.5764156, 44.8439204], [-0.5764379, 44.8439373], [-0.5764497, 44.8439302], [-0.5764266, 44.8439134]]], ""type"": ""Polygon""}";845765;;VT;2023-05-22T13:09:12+02:00;2023-05-22T13:10:59+02:00;Bordeaux;33063
44.83707997990285, -0.5659766293357746;"{""coordinates"": [[[-0.5660073, 44.8370909], [-0.5659658, 44.8370569], [-0.5659461, 44.8370684], [-0.5659866, 44.8371031], [-0.5660073, 44.8370909]]], ""type"": ""Polygon""}";846062;;VT;2023-05-22T15:01:49+02:00;2023-05-22T15:02:19+02:00;Bordeaux;33063
44.846824775654035, -0.5789555988788041;"{""coordinates"": [[[-0.5789721, 44.8468152], [-0.5789555, 44.8468092], [-0.5789385, 44.8468348], [-0.5789569, 44.8468396], [-0.5789721, 44.8468152]]], ""type"": ""Polygon""}";730633;;VTS;2022-10-10T14:56:05+02:00;2022-10-20T10:28:52+02:00;Bordeaux;33063
