Geo Point;Geo Shape;gid;ident;type;zone;comptage_5m;cdate;mdate;commune;CODE_COMMUNE
44.8532304, -0.5067709;"{""coordinates"": [-0.5067709, 44.8532304], ""type"": ""Point""}";561;Z29DS;SIREDO;29;;2012-12-10T09:37:00+01:00;2012-12-10T09:37:16+01:00;Cenon;33119
44.8435638, -0.5409774;"{""coordinates"": [-0.5409774, 44.8435638], ""type"": ""Point""}";567;Z29BE;SIREDO;29;;2012-12-10T09:45:24+01:00;2012-12-10T09:45:40+01:00;Cenon;33119
44.8566941, -0.6189075;"{""coordinates"": [-0.6189075, 44.8566941], ""type"": ""Point""}";573;Z20AE;SIREDO;20;;2012-12-10T10:06:28+01:00;2012-12-10T10:06:36+01:00;Bordeaux;33063
44.8456323, -0.6119695;"{""coordinates"": [-0.6119695, 44.8456323], ""type"": ""Point""}";576;Z20BE;SIREDO;20;;2012-12-10T10:08:44+01:00;2012-12-10T10:09:08+01:00;Bordeaux;33063
44.8739639, -0.5367267;"{""coordinates"": [-0.5367267, 44.8739639], ""type"": ""Point""}";577;Z22AS;SIREDO;22;;2012-12-10T10:17:48+01:00;2012-12-10T10:18:00+01:00;Lormont;33249
44.8668151, -0.509119;"{""coordinates"": [-0.509119, 44.8668151], ""type"": ""Point""}";581;Z22CS;SIREDO;22;;2012-12-10T10:24:48+01:00;2012-12-10T10:25:00+01:00;Cenon;33119
44.8634234, -0.6032041;"{""coordinates"": [-0.6032041, 44.8634234], ""type"": ""Point""}";585;Z21AE;SIREDO;21;;2012-12-18T15:21:36+01:00;2012-12-18T15:21:56+01:00;Le Bouscat;33069
44.8596066, -0.5923304;"{""coordinates"": [-0.5923304, 44.8596066], ""type"": ""Point""}";590;Z21CS;SIREDO;21;;2012-12-18T15:32:48+01:00;2012-12-18T15:32:56+01:00;Le Bouscat;33069
44.8823121, -0.5699045;"{""coordinates"": [-0.5699045, 44.8823121], ""type"": ""Point""}";594;Z25CT17;BOUCLE;25;44;2015-01-21T18:36:36+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
44.852531, -0.5682806;"{""coordinates"": [-0.5682806, 44.852531], ""type"": ""Point""}";598;Z1CT15;BOUCLE;1;26;2017-03-21T09:21:36+01:00;2024-10-01T16:25:00+02:00;Bordeaux;33063
